Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
eleanor_bj1_day3_4d829bb8		{i}I open the closet door, quietly, and step out.	game/events_scripts/eleanor.rpy	6	"[what]"
eleanor_bj1_day3_391abea3		{i}I approach her, my heart pounding in my chest.	game/events_scripts/eleanor.rpy	10	"[what]"
eleanor_bj1_day3_06396879		{i}Eleanor's eyes widen as she sees me, but she doesn't say anything.	game/events_scripts/eleanor.rpy	12	"[what]"
eleanor_bj1_day3_f384069b		{i}I whisper, my voice low and husky.	game/events_scripts/eleanor.rpy	13	"[what]"
eleanor_bj1_day3_264113aa	a	I want you,	game/events_scripts/eleanor.rpy	14	a "[what]"
eleanor_bj1_day3_01f947eb		{i}Eleanor whispered, her voice husky with desire.	game/events_scripts/eleanor.rpy	19	"[what]"
eleanor_bj1_day3_9516ea07	ele	Are you sure about this, Alex?	game/events_scripts/eleanor.rpy	20	ele "[what]"
eleanor_bj1_day3_12ed18bb	a	Yes, I want you to do it.	game/events_scripts/eleanor.rpy	23	a "[what]"
eleanor_bj1_day3_bdb19049	ele	...	game/events_scripts/eleanor.rpy	26	ele "[what]"
eleanor_bj1_day3_062c3dd4	a_	That look... that face she makes... just makes me want to shove my cock in her mouth all at once.	game/events_scripts/eleanor.rpy	28	a_ "[what]"
eleanor_bj1_day3_6998996f	ele	It's so big... can I do it?	game/events_scripts/eleanor.rpy	29	ele "[what]"
eleanor_bj1_day3_3bb3fffa	a	You can do it...	game/events_scripts/eleanor.rpy	30	a "[what]"
eleanor_bj1_day3_94aa43b4		{i}We both tried to keep our voices down so Tristan wouldn't hear us.	game/events_scripts/eleanor.rpy	31	"[what]"
eleanor_bj1_day3_1c0bd4ba		{i}Eleanor grabbed my cock and gave a small, light lick to the tip. I let out a low moan, and she gave me a small kiss on the tip of my cock.	game/events_scripts/eleanor.rpy	38	"[what]"
eleanor_bj1_day3_ad33b0fe		{i}Then, she tried to put my cock in her mouth, but it was huge.	game/events_scripts/eleanor.rpy	41	"[what]"
eleanor_bj1_day3_5d922ade	a_	Can she really do it?	game/events_scripts/eleanor.rpy	42	a_ "[what]"
eleanor_bj1_day3_7fc37fa4	tr	Eleanor, my dear, did you say something?	game/events_scripts/eleanor.rpy	44	tr "[what]"
eleanor_bj1_day3_07486304	ele	No, Tristan, my love... I'm just getting ready for you.	game/events_scripts/eleanor.rpy	46	ele "[what]"
eleanor_bj1_day3_7f4d3338	a_	Oh, hell... but we're not stopping now.	game/events_scripts/eleanor.rpy	47	a_ "[what]"
eleanor_bj1_day3_a036b5cb	a_	Oh, 	game/events_scripts/eleanor.rpy	50	a_ "[what]"
eleanor_bj1_day3_b66fd860		{i}Then, to my surprise, she managed to fit my cock in her mouth.	game/events_scripts/eleanor.rpy	51	"[what]"
eleanor_bj1_day3_d8ced746		{i}She kept it in her mouth for a while, then took it out. Then she started giving me a blowjob,	game/events_scripts/eleanor.rpy	54	"[what]"
eleanor_bj1_day3_eeebde63		{i}I was turned on, but holding back to keep from making noise. 	game/events_scripts/eleanor.rpy	59	"[what]"
eleanor_bj1_day3_6f7804b7	ele	You like that, don't you?	game/events_scripts/eleanor.rpy	63	ele "[what]"
eleanor_bj1_day3_8556601c		{i}She said, looking up at me with her big brown eyes	game/events_scripts/eleanor.rpy	64	"[what]"
eleanor_bj1_day3_217e910e	a	Yes,	game/events_scripts/eleanor.rpy	65	a "[what]"
eleanor_bj1_day3_1da2305e		{i}She continued to suck me, her head moving back and forth in a steady rhythm.	game/events_scripts/eleanor.rpy	70	"[what]"
eleanor_bj1_day3_9dbed50b		{i}I nodded, and I could feel myself getting closer to the edge, and I didn't want to cum yet. I wanted this to last as long as possible.	game/events_scripts/eleanor.rpy	72	"[what]"
eleanor_bj1_day3_b5a67a9b		{i}Eleanor seemed to get it and started sucking me faster and harder.	game/events_scripts/eleanor.rpy	75	"[what]"
eleanor_bj1_day3_6d1ba395		{i}I let out a moan, my head falling back as she sucks me deep. Her tongue swirls around my cock,	game/events_scripts/eleanor.rpy	81	"[what]"
eleanor_bj1_day3_ad7ab1c9		{i}grabbing her hair, as I fuck her mouth, harder and harder.	game/events_scripts/eleanor.rpy	83	"[what]"
eleanor_bj1_day3_c6c491a4	a	I'm going to cum,	game/events_scripts/eleanor.rpy	85	a "[what]"
eleanor_bj1_day3_be8d6e07	ele	Come for me, Alex,	game/events_scripts/eleanor.rpy	90	ele "[what]"
eleanor_bj1_day3_29b99ad6		{i}And I did. I came hard. It was one of the most intense orgasms I had ever experienced.	game/events_scripts/eleanor.rpy	100	"[what]"
eleanor_bj1_day3_10a3c8a5		{i}When it was over, Eleanor gave me a seductive smile and whispered.	game/events_scripts/eleanor.rpy	102	"[what]"
eleanor_bj1_day3_ef1f1abc	ele	I think we need to do that again sometime,	game/events_scripts/eleanor.rpy	103	ele "[what]"
eleanor_bj1_day3_d40dbeea	a	I couldn't agree more,	game/events_scripts/eleanor.rpy	104	a "[what]"
eleanor_bj1_day3_b40d1b5a	a_	That was really good. But now I have to get out of here before it ends badly.	game/events_scripts/eleanor.rpy	108	a_ "[what]"
eleanor_bj1_day3_b1428f43	a_	I can't believe what just happened. I was so close to getting caught by Eleanor's husband.	game/events_scripts/eleanor.rpy	109	a_ "[what]"
eleanor_bj1_day3_0ca736b9	a_	I made Eleanor finish what she was going to do before Tristan arrived, and we both enjoyed it so much.	game/events_scripts/eleanor.rpy	110	a_ "[what]"
tristan_f_eleanor_day3_5ce60b38	ele	Tristan, hurry up in there! I’m getting cold waiting for you.	game/events_scripts/eleanor.rpy	119	ele "[what]"
tristan_f_eleanor_day3_53bfe8e5		{i}Her voice was light, playful, and it only made the temptation stronger.	game/events_scripts/eleanor.rpy	121	"[what]"
tristan_f_eleanor_day3_c4037398		{i}I took a step toward the open bathroom door, feeling a rush of adrenaline.	game/events_scripts/eleanor.rpy	122	"[what]"
tristan_f_eleanor_day3_8ffc2866	a_	If I just peek... no one will know. Just one look, and then I’ll be gone. But this could go south fast if I get caught.	game/events_scripts/eleanor.rpy	126	a_ "[what]"
tristan_f_eleanor_day3_df331734		{i}As I peered, saw Eleanor standing in the shower, with Tristan on his knees in front of her, pleasureing her with his mouth.	game/events_scripts/eleanor.rpy	131	"[what]"
tristan_f_eleanor_day3_fde50944		{i}Eleanor's head was thrown back in ecstasy as Tristan's tongue worked its magic.	game/events_scripts/eleanor.rpy	133	"[what]"
tristan_f_eleanor_day3_f2abc13c		{i}Suddenly, Eleanor's eyes flew open, and she saw me.	game/events_scripts/eleanor.rpy	137	"[what]"
tristan_f_eleanor_day3_5f67505f		{i}Instead of being scared or angry, she gave him a dirty little smile and started making lewd faces at me.	game/events_scripts/eleanor.rpy	140	"[what]"
tristan_f_eleanor_day3_08f9916a	a_	My dick got hard just seeing her moaning like that.	game/events_scripts/eleanor.rpy	141	a_ "[what]"
tristan_f_eleanor_day3_b52ee49a		{i}Tristan stood up and wrapped his arms around Eleanor. He lifted her legs around his waist and entered her, causing her to moan even louder.	game/events_scripts/eleanor.rpy	143	"[what]"
tristan_f_eleanor_day3_5a64f546		{i}Eleanor continued to make eye contact with me as Tristan fucked her.	game/events_scripts/eleanor.rpy	144	"[what]"
tristan_f_eleanor_day3_6c66777a		{i}Eleanor's eyes lit up with desire as she saw what I was doing.	game/events_scripts/eleanor.rpy	148	"[what]"
tristan_f_eleanor_day3_68acf1d9	a_	That's enough for now. But I'll remember your face well, Eleanor.	game/events_scripts/eleanor.rpy	150	a_ "[what]"
tristan_f_eleanor_day3_f7b65954	a_	What the hell just happened? I was spying on Eleanor and Tristan in the bathroom... and she saw me.	game/events_scripts/eleanor.rpy	157	a_ "[what]"
tristan_f_eleanor_day3_cf2742e6	a_	But instead of freaking out, she seemed to like it. The way she looked at me—it wasn’t embarrassment or shock.	game/events_scripts/eleanor.rpy	158	a_ "[what]"
tristan_f_eleanor_day3_c0823542	a_	It was something else, something... hotter. Like she was inviting me into their moment without saying a word.	game/events_scripts/eleanor.rpy	159	a_ "[what]"
girls_in_the_jacuzzi_day3_9e0c36dd		{i}When Tanya and I walked into the bathhouse, the warm, scented steam wrapped around us like a heavy blanket.	game/events_scripts/emma.rpy	5	"[what]"
girls_in_the_jacuzzi_day3_d13ee4fc		{i}I immediately spotted Isabella, sprawled on a massage table, completely naked, her body glistening from the oils the masseuse—a striking black woman—was using.	game/events_scripts/emma.rpy	7	"[what]"
girls_in_the_jacuzzi_day3_3454b90d		{i}Nearby, Ava stood with an air of nonchalance, equally nude, her hand gesturing as she spoke to Isabella. I could just make out a few words as we approached.	game/events_scripts/emma.rpy	8	"[what]"
girls_in_the_jacuzzi_day3_55483672	av	...I mean, it’s not like he was the best, but he did try.	game/events_scripts/emma.rpy	9	av "[what]"
girls_in_the_jacuzzi_day3_2f394240	e_	Is this really what they're talking about right now? Ex-boyfriends in the middle of a massage? Of course, it is.	game/events_scripts/emma.rpy	10	e_ "[what]"
girls_in_the_jacuzzi_day3_69b31b29		{i}Tanya nudged me slightly, her eyebrows raised in amusement. I stifled a grin, knowing we were intruding but too curious to leave.	game/events_scripts/emma.rpy	11	"[what]"
girls_in_the_jacuzzi_day3_d21c4355		{i}As if sensing our presence, Ava’s gaze shifted towards us, her eyes widening ever so slightly.	game/events_scripts/emma.rpy	13	"[what]"
girls_in_the_jacuzzi_day3_4998c0f2	av	Oh, look who decided to join the party!	game/events_scripts/emma.rpy	14	av "[what]"
girls_in_the_jacuzzi_day3_4b77480f	e_	It's not like I've never seen them naked girls before, but this is still... unexpected.	game/events_scripts/emma.rpy	15	e_ "[what]"
girls_in_the_jacuzzi_day3_492e64d4	e	Seems like a cozy little setup in here. Talking about exes? Should I be taking notes?	game/events_scripts/emma.rpy	16	e "[what]"
girls_in_the_jacuzzi_day3_71225c7d		{i}Ava smirked	game/events_scripts/emma.rpy	17	"[what]"
girls_in_the_jacuzzi_day3_943f7f60	av	Hey, a little girl talk never hurt anyone.	game/events_scripts/emma.rpy	18	av "[what]"
girls_in_the_jacuzzi_day3_391be16b		{i}Isabella glanced up from the table, a lazy smile spreading across her lips as she noticed us.	game/events_scripts/emma.rpy	19	"[what]"
girls_in_the_jacuzzi_day3_65d52e01	i	Care to join me? This massage is heaven. You both look like you could use some relaxation.	game/events_scripts/emma.rpy	20	i "[what]"
girls_in_the_jacuzzi_day3_d53211ca	e_	Typical Isabella, always so composed, even when completely exposed. Honestly, it's a bit enviable.	game/events_scripts/emma.rpy	21	e_ "[what]"
girls_in_the_jacuzzi_day3_9cb0783a	t	I don’t know, Emma, should we take them up on the offer? The workout was rough...	game/events_scripts/emma.rpy	22	t "[what]"
girls_in_the_jacuzzi_day3_39859407	e	Why not? If there’s a masseuse to spare, I’m all in.	game/events_scripts/emma.rpy	23	e "[what]"
girls_in_the_jacuzzi_day3_bd2c2e53	av	There’s plenty of room, ladies. Come on, get comfortable.	game/events_scripts/emma.rpy	25	av "[what]"
girls_in_the_jacuzzi_day3_90c5948f	av	We were just talking about how massages can work wonders after... stressful relationships.	game/events_scripts/emma.rpy	26	av "[what]"
girls_in_the_jacuzzi_day3_d71546a3	e_	Is she still talking about that ex? How long ago was that breakup? But whatever, a massage does sound good right about now.	game/events_scripts/emma.rpy	27	e_ "[what]"
girls_in_the_jacuzzi_day3_f66c7f04		{i}I couldn't deny the strange allure of the situation, the way the tension in the air was mixed with this veneer of calm.	game/events_scripts/emma.rpy	28	"[what]"
girls_in_the_jacuzzi_day3_82554a9c	av	Well, girls, don't let me keep you. Enjoy your time in here. It's divine.	game/events_scripts/emma.rpy	30	av "[what]"
girls_in_the_jacuzzi_day3_c7eb3d84		{i}She smirked as if she had all the answers to questions I hadn't even asked yet. Turning away from us, she walked towards the jacuzzi. And damn...	game/events_scripts/emma.rpy	31	"[what]"
girls_in_the_jacuzzi_day3_527b4953		{i}Ava’s body was a masterpiece, every curve intentional and perfect. It was like she stepped right out of a photoshoot.	game/events_scripts/emma.rpy	33	"[what]"
girls_in_the_jacuzzi_day3_33ad2d31	e_	I think... I want to paint a picture of her one of these days...	game/events_scripts/emma.rpy	34	e_ "[what]"
girls_in_the_jacuzzi_day3_d9608a0b	e_	She has this kind of unique beauty...	game/events_scripts/emma.rpy	35	e_ "[what]"
girls_in_the_jacuzzi_day3_78130742	e_	Why do I feel a little... envious? Hell, who wouldn't be? Look at her... If I had her confidence, her poise—maybe I wouldn’t feel so on edge all the time.	game/events_scripts/emma.rpy	37	e_ "[what]"
girls_in_the_jacuzzi_day3_87fdd662	av	Are we seriously just going to stand here and stare, or are we actually getting in on this?	game/events_scripts/emma.rpy	38	av "[what]"
girls_in_the_jacuzzi_day3_354d355b		{i}Tanya and I stood at the doorway, wrapped in towels, watching the scene unfold in front of us. Ava had slipped into the jacuzzi, her expression serene as she sank into the warm water.	game/events_scripts/emma.rpy	40	"[what]"
